episode,timestep,reward
47,800,17.0
83,1600,22.0833
117,2400,23.6765
146,3200,27.5172
167,4000,36.9524
184,4800,48.2941
198,5600,53.0714
211,6400,62.4615
224,7200,64.9231
235,8000,70.9091
242,8800,109.5714
252,9600,84.6
256,10400,174.75
264,11200,107.625
268,12000,200.25
272,12800,185.0
277,13600,175.8
281,14400,189.25
284,15200,214.0
288,16000,180.75
293,16800,216.8
296,17600,223.0
300,18400,225.0
303,19200,254.0
306,20000,290.6667
309,20800,260.6667
312,21600,267.6667
315,22400,189.6667
318,23200,308.0
321,24000,228.0
325,24800,238.0
328,25600,253.3333
331,26400,301.0
333,27200,335.5
335,28000,338.5
338,28800,338.6667
340,29600,382.0
342,30400,343.5
346,31200,256.0
348,32000,348.0
350,32800,394.5
352,33600,329.0
354,34400,372.5
357,35200,370.6667
359,36000,392.0
361,36800,299.0
363,37600,328.5
366,38400,373.0
368,39200,400.0
370,40000,393.5
372,40800,329.0
374,41600,374.0
376,42400,335.0
379,43200,377.0
382,44000,245.0
386,44800,210.5
390,45600,177.0
394,46400,202.5
398,47200,236.0
400,48000,321.0
404,48800,236.25
407,49600,257.6667
409,50400,296.0
411,51200,400.0
413,52000,355.5
416,52800,363.3333
418,53600,400.0
420,54400,364.5
422,55200,400.0
424,56000,400.0
426,56800,400.0
428,57600,349.0
431,58400,300.6667
434,59200,220.0
436,60000,389.0
438,60800,400.0
440,61600,400.0
442,62400,400.0
445,63200,300.0
447,64000,362.0
449,64800,387.0
451,65600,400.0
454,66400,279.3333
457,67200,325.0
460,68000,250.0
462,68800,400.0
464,69600,400.0
466,70400,400.0
469,71200,250.0
472,72000,317.6667
475,72800,254.3333
477,73600,400.0
479,74400,400.0
481,75200,341.0
483,76000,400.0
486,76800,328.0
488,77600,400.0
490,78400,400.0
492,79200,400.0
494,80000,292.0
496,80800,400.0
498,81600,400.0
500,82400,400.0
502,83200,400.0
504,84000,400.0
506,84800,400.0
508,85600,400.0
510,86400,400.0
512,87200,400.0
514,88000,400.0
517,88800,335.3333
520,89600,258.6667
522,90400,296.5
524,91200,400.0
526,92000,345.0
529,92800,361.0
531,93600,358.0
534,94400,302.6667
536,95200,400.0
538,96000,379.0
540,96800,325.0
542,97600,352.0
544,98400,400.0
546,99200,400.0
548,100000,400.0
